Tipo de Incidencia,Clave de incidencia,ID de la incidencia,Resumen,Parent summary,Prioridad,Estado,Sprint de ejecución,Tipo de prueba,Atributo,Nivel de prueba,Tag0,Tag1,Tag2,Eatpa de la prueba,Ambiente,Reportado,Fecha Reporte,Version de correccion 1,Desarrollador,Sprint última regresión,¿En qué versión fue corregido?,Estrategia de ejecución
riesgo,MOB-589,244,Falta de alineación en los elementos de la interfaz.,Verificar herencia del objeto,Media,Resuelto,Sprint 18,Funcional,Funcional,Unitaria,SAP,DWH,On-Premise- Hibrido,Requisitos,Sandbox,Laura Ortega,2/1/2025,v1.0.1,Esteban Méndez,,v1.0.2,Automatizada
riesgo,WEB-342,245,La carga del módulo tarda más de lo esperado.,Verificar herencia del objeto,Media,Resuelto,Sprint 18,Exploratoria,Funcional,UAT,Software Tradicional,CORE Banking,Cloud,Construcción,Integracion,Isabela Aguirre,9/12/2025,v1.0.1,Jorge Ramírez,,v1.0.2,Manual
Defecto,API-073,246,La carga del módulo tarda más de lo esperado.,Verificar herencia del objeto,Alta,Resuelto,Sprint 9,Aceptación,Funcional,UAT,Datos,CORE Banking,On-Premise- Hibrido,Operacion,Desarrollo,Camila Vargas,7/11/2025,v1.0.1,Pedro Cruz,,v1.0.2,Manual
Defecto,WEB-342,247,El botón de envío permanece inactivo aún con campos completos.,Verificar herencia del objeto,Alta,Resuelto,Sprint 4,Exploratoria,Portabilidad,integracion,SAP,Datalake,Mainframe,Construcción,Pre-Producción,Sebastián Cortés,9/7/2024,v1.0.1,Paula Navarro,,v1.0.2,Manual
Defecto,MOB-589,248,Los errores de validación no se muestran en tiempo real.,Verificar herencia del objeto,Baja,En progreso,Sprint 7,Funcional,Compatibilidad,Unitaria,Software Tradicional,ERP,Cloud,Operacion,Sandbox,Juan Pérez,4/9/2025,v1.0.1,Lucía Fernández,Sprint 19,v1.0.2,Manual
sugerencia,MOB-589,249,La carga del módulo tarda más de lo esperado.,Verificar herencia del objeto,Baja,Pendiente,Sprint 5,Exploratoria,Funcional,Unitaria,Datos,DWH,On-Premise- Hibrido,Operacion,Producción,Ana López,1/18/2025,v1.0.1,Lucía Fernández,,v1.0.2,Manual
riesgo,MOB-589,250,Los errores de validación no se muestran en tiempo real.,Verificar herencia del objeto,Crítica,Pendiente,Sprint 9,Sanity,Funcional,Unitaria,Datos,DWH,Mainframe,Construcción,Pre-Producción,Antonella Duque,10/6/2024,v1.0.1,Lucía Fernández,,v1.0.2,Manual
riesgo,CORE-568,251,Error al guardar los cambios cuando el formulario está incompleto.,Verificar herencia del objeto,Baja,En progreso,Sprint 20,Funcional,Funcional,UAT,Software IA,Datalake,Mainframe,Operacion,Pre-Producción,Daniela Ríos,7/27/2025,v1.0.1,Juan Pérez,,v1.0.2,Manual
Defecto,KIOS-411,252,Permisos incorrectos asignados a usuarios estándar.,Verificar herencia del objeto,Crítica,Rechazado,Sprint 1,Exploratoria,Datos,Sistema,Software IA,ERP,Cloud,Requisitos,ShadowDR),Jorge Ramírez,2/9/2024,v1.0.1,Mariana Cárdenas,,v1.0.2,Manual
riesgo,WEB-342,253,Permisos incorrectos asignados a usuarios estándar.,Verificar herencia del objeto,Baja,En progreso,Sprint 20,Integración,Seguridad,UAT,Software Tradicional,DWH,On-Premise- Hibrido,Ideación,Producción,Sofía Morales,12/17/2024,v1.0.1,Juan Pérez,,v1.0.2,Manual
sugerencia,CORE-568,254,Error al guardar los cambios cuando el formulario está incompleto.,Verificar herencia del objeto,Baja,Reabierto,Sprint 10,Sanity,Compatibilidad,UAT,Software Tradicional,DWH,Mainframe,Ideación,Pruebas,Isabela Aguirre,3/3/2024,v1.0.1,Daniela Ríos,,v1.0.2,Manual
Defecto,POS-101,255,Falta de alineación en los elementos de la interfaz.,Verificar herencia del objeto,Crítica,En progreso,Sprint 4,Funcional,Funcional,integracion,Software Tradicional,DWH,Mainframe,Operacion,Integracion,Lucía Fernández,4/23/2025,v1.0.1,Raúl Espinosa,,v1.0.2,Automatizada
riesgo,API-073,256,Datos no persisten después de actualizar la página.,Verificar herencia del objeto,Alta,En progreso,Sprint 9,Funcional,Desempeño,UAT,Datos,Datalake,Cloud,Requisitos,Integracion,Mariana Cárdenas,5/27/2025,v1.0.1,Ana López,,v1.0.2,Manual
Incidente,CORE-568,257,La carga del módulo tarda más de lo esperado.,Verificar herencia del objeto,Baja,En progreso,Sprint 9,Sanity,Funcional,UAT,Software Tradicional,CRM,Cloud,Requisitos,ShadowDR),Mariana Cárdenas,7/16/2025,v1.0.1,Antonella Duque,Sprint 15,v1.0.2,Manual
riesgo,WEB-342,258,Permisos incorrectos asignados a usuarios estándar.,Verificar herencia del objeto,Media,Pendiente,Sprint 13,Funcional,Funcional,integracion,Software IA,DWH,Cloud,Requisitos,Pruebas,Jorge Ramírez,8/29/2024,v1.0.1,Mateo Linares,,v1.0.2,Manual
Defecto,BD-921,259,Fallo en la navegación entre pantallas del módulo principal.,Verificar herencia del objeto,Baja,Reabierto,Sprint 13,Integración,Funcional,Sistema,Datos,ERP,On-Premise- Hibrido,Construcción,Integracion,Mateo Linares,5/23/2025,v1.0.1,Ana López,,v1.0.2,Manual
sugerencia,MOB-589,260,El sistema no responde al hacer clic en ciertos botones.,Verificar herencia del objeto,Media,En progreso,Sprint 15,Regresión,Funcional,Unitaria,Software IA,CRM,Mainframe,Operacion,Desarrollo,Sebastián Cortés,4/6/2025,v1.0.1,Daniela Ríos,Sprint 16,v1.0.2,Manual
Defecto,BD-921,261,El botón de envío permanece inactivo aún con campos completos.,Verificar herencia del objeto,Alta,Resuelto,Sprint 13,Funcional,Funcional,Unitaria,Software IA,DWH,On-Premise- Hibrido,Operacion,Producción,Raúl Espinosa,5/12/2024,v1.0.1,Sebastián Cortés,,v1.0.2,Manual
Defecto,BD-921,262,Permisos incorrectos asignados a usuarios estándar.,Verificar herencia del objeto,Alta,Rechazado,Sprint 19,Carga,Datos,Sistema,Datos,CORE Banking,Mainframe,Ideación,Pre-Producción,Valentina Castillo,2/28/2024,v1.0.1,Camila Vargas,,v1.0.2,Manual
Incidente,CORE-568,263,El sistema se bloquea al ingresar caracteres especiales.,Verificar herencia del objeto,Baja,Cerrado,Sprint 8,Funcional,Usabilidad,UAT,Datos,DWH,Mainframe,Construcción,Pruebas,Mariana Cárdenas,10/28/2024,v1.0.1,Daniela Ríos,,v1.0.2,Manual
riesgo,WEB-342,264,La validación del campo de correo no funciona correctamente.,Verificar herencia del objeto,Alta,En progreso,Sprint 0,Integración,Desempeño,UAT,SAP,CORE Banking,Cloud,Ideación,ShadowDR),Miguel Herrera,4/2/2025,v1.0.1,Lucía Fernández,,v1.0.2,Manual
Defecto,CORE-568,265,Problemas con la internacionalización de mensajes.,Verificar herencia del objeto,Media,Cerrado,Sprint 4,Integración,Compatibilidad,UAT,Software IA,ERP,Mainframe,Operacion,Integracion,Sofía Morales,7/6/2025,v1.0.1,Ana López,Sprint 4,v1.0.2,Manual
riesgo,WEB-342,266,Datos no persisten después de actualizar la página.,Verificar herencia del objeto,Alta,Resuelto,Sprint 18,Integración,Funcional,integracion,Software IA,DWH,Cloud,Requisitos,ShadowDR),Juan Pérez,6/4/2025,v1.0.1,Juan Pérez,,v1.0.2,Manual
riesgo,CORE-568,267,La función de autocompletado no sugiere valores esperados.,Verificar herencia del objeto,Alta,Resuelto,Sprint 9,Funcional,Funcional,Sistema,Datos,DWH,On-Premise- Hibrido,Ideación,Pruebas,Ana López,5/20/2024,v1.0.1,Daniela Ríos,,v1.0.2,Automatizada
Incidente,POS-101,268,Se visualiza contenido duplicado en la lista de resultados.,Verificar herencia del objeto,Baja,Resuelto,Sprint 18,Funcional,Funcional,Unitaria,Datos,ERP,Mainframe,Construcción,ShadowDR),Camila Vargas,10/27/2024,v1.0.1,Paula Navarro,Sprint 20,v1.0.2,Automatizada
Incidente,WEB-342,269,La función de autocompletado no sugiere valores esperados.,Verificar herencia del objeto,Alta,Pendiente,Sprint 3,Carga,Funcional,Sistema,Datos,ERP,On-Premise- Hibrido,Ideación,Pre-Producción,Miguel Herrera,1/21/2025,v1.0.1,Miguel Herrera,,v1.0.2,Manual
sugerencia,MOB-589,270,Falta de alineación en los elementos de la interfaz.,Verificar herencia del objeto,Crítica,Pendiente,Sprint 16,Funcional,Funcional,integracion,Datos,Datalake,Mainframe,Operacion,ShadowDR),Pedro Cruz,8/19/2025,v1.0.1,Gabriela Paredes,Sprint 16,v1.0.2,Manual
sugerencia,API-073,271,Inconsistencias en el formato de fechas en reportes.,Verificar herencia del objeto,Media,Pendiente,Sprint 2,Funcional,Funcional,Unitaria,SAP,CORE Banking,Mainframe,Construcción,ShadowDR),Jorge Ramírez,5/2/2024,v1.0.1,Paula Navarro,,v1.0.2,Automatizada
Defecto,WEB-342,272,Se visualiza contenido duplicado en la lista de resultados.,Verificar herencia del objeto,Media,Resuelto,Sprint 8,Aceptación,Funcional,Sistema,SAP,CORE Banking,Cloud,Requisitos,Pre-Producción,Gabriela Paredes,9/10/2024,v1.0.1,Sofía Morales,,v1.0.2,Manual
Incidente,KIOS-411,273,El sistema no responde al hacer clic en ciertos botones.,Verificar herencia del objeto,Media,Resuelto,Sprint 5,Funcional,Seguridad,UAT,Software Tradicional,ERP,Mainframe,Requisitos,Producción,Camila Vargas,8/22/2025,v1.0.1,Paula Navarro,,v1.0.2,Manual
Incidente,POS-101,274,Problemas con la internacionalización de mensajes.,Verificar herencia del objeto,Media,Resuelto,Sprint 12,Exploratoria,Funcional,Sistema,Software IA,ERP,On-Premise- Hibrido,Construcción,Sandbox,Camila Vargas,1/30/2024,v1.0.1,Antonella Duque,,v1.0.2,Manual
riesgo,BD-921,275,La carga del módulo tarda más de lo esperado.,Verificar herencia del objeto,Alta,Pendiente,Sprint 5,Funcional,Portabilidad,integracion,SAP,DWH,On-Premise- Hibrido,Requisitos,ShadowDR),Raúl Espinosa,4/9/2025,v1.0.1,Mariana Cárdenas,,v1.0.2,Manual
riesgo,MOB-589,276,La carga del módulo tarda más de lo esperado.,Verificar herencia del objeto,Alta,En progreso,Sprint 14,Funcional,Funcional,Sistema,Datos,CORE Banking,Mainframe,Ideación,Sandbox,Mariana Cárdenas,8/13/2025,v1.0.1,Valentina Castillo,Sprint 14,v1.0.2,Manual
riesgo,BD-921,277,La carga del módulo tarda más de lo esperado.,Verificar herencia del objeto,Media,Resuelto,Sprint 7,Carga,Funcional,Unitaria,Software Tradicional,Datalake,Cloud,Construcción,Producción,Lucía Fernández,4/13/2024,v1.0.1,Sofía Morales,,v1.0.2,Manual
Incidente,CORE-568,278,Los errores de validación no se muestran en tiempo real.,Verificar herencia del objeto,Crítica,En progreso,Sprint 20,Carga,Desempeño,Sistema,Software Tradicional,CRM,On-Premise- Hibrido,Ideación,Pre-Producción,Raúl Espinosa,10/18/2024,v1.0.1,Pedro Cruz,,v1.0.2,Manual
sugerencia,WEB-342,279,Los datos exportados no coinciden con los mostrados en pantalla.,Verificar herencia del objeto,Media,Cerrado,Sprint 18,Integración,Datos,integracion,Software Tradicional,ERP,Cloud,Requisitos,Desarrollo,Juan Pérez,1/3/2024,v1.0.1,Mateo Linares,,v1.0.2,Manual
sugerencia,POS-101,280,El sistema se bloquea al ingresar caracteres especiales.,Verificar herencia del objeto,Alta,En progreso,Sprint 8,Smoke,UX,integracion,Datos,CRM,On-Premise- Hibrido,Requisitos,Desarrollo,Jorge Ramírez,1/31/2025,v1.0.1,Miguel Herrera,,v1.0.2,Manual
Defecto,KIOS-411,281,Datos no persisten después de actualizar la página.,Verificar herencia del objeto,Baja,Cerrado,Sprint 7,Exploratoria,Funcional,integracion,Datos,ERP,Mainframe,Construcción,Sandbox,Esteban Méndez,2/27/2025,v1.0.1,Miguel Herrera,Sprint 18,v1.0.2,Manual
Incidente,CORE-568,282,El botón de envío permanece inactivo aún con campos completos.,Verificar herencia del objeto,Media,Resuelto,Sprint 13,Carga,Funcional,Sistema,Software IA,Datalake,On-Premise- Hibrido,Requisitos,Desarrollo,Lucía Fernández,7/13/2024,v1.0.1,Raúl Espinosa,,v1.0.2,Manual
riesgo,CORE-568,283,Los errores de validación no se muestran en tiempo real.,Verificar herencia del objeto,Media,Resuelto,Sprint 11,Funcional,Funcional,integracion,Datos,CORE Banking,Mainframe,Ideación,Sandbox,Antonella Duque,10/9/2024,v1.0.1,Lucía Fernández,Sprint 13,v1.0.2,Automatizada
sugerencia,KIOS-411,284,Fallo en la navegación entre pantallas del módulo principal.,Verificar herencia del objeto,Alta,Resuelto,Sprint 1,Funcional,Desempeño,UAT,SAP,Datalake,On-Premise- Hibrido,Requisitos,Sandbox,Antonella Duque,7/23/2025,v1.0.1,Ana López,,v1.0.2,Manual
riesgo,API-073,285,No se muestra el mensaje de confirmación tras enviar el formulario.,Verificar herencia del objeto,Alta,Pendiente,Sprint 12,Funcional,Desempeño,Sistema,Software Tradicional,CORE Banking,On-Premise- Hibrido,Ideación,ShadowDR),Antonella Duque,9/10/2024,v1.0.1,Mariana Cárdenas,,v1.0.2,Manual
Defecto,KIOS-411,286,Fallo en la navegación entre pantallas del módulo principal.,Verificar herencia del objeto,Baja,En progreso,Sprint 5,Carga,Datos,integracion,SAP,Datalake,Mainframe,Construcción,ShadowDR),Isabela Aguirre,5/6/2024,v1.0.1,Valentina Castillo,,v1.0.2,Manual
Defecto,CORE-568,287,Se generan logs con errores de NullPointerException.,Verificar herencia del objeto,Baja,Reabierto,Sprint 20,Integración,Desempeño,Unitaria,Datos,Datalake,On-Premise- Hibrido,Construcción,Sandbox,Antonella Duque,10/19/2025,v1.0.1,Sebastián Cortés,,v1.0.2,Manual
Defecto,MOB-589,288,Los errores de validación no se muestran en tiempo real.,Verificar herencia del objeto,Alta,Cerrado,Sprint 16,Funcional,Desempeño,Sistema,Datos,CORE Banking,Cloud,Construcción,Sandbox,Juan Pérez,1/16/2025,v1.0.1,Esteban Méndez,,v1.0.2,Manual
riesgo,POS-101,289,Datos no persisten después de actualizar la página.,Verificar herencia del objeto,Crítica,Pendiente,Sprint 19,Funcional,Funcional,Sistema,Software IA,CRM,Mainframe,Ideación,Pruebas,Daniela Ríos,1/4/2025,v1.0.1,Camila Vargas,,v1.0.2,Automatizada
riesgo,API-073,290,El sistema no responde al hacer clic en ciertos botones.,Verificar herencia del objeto,Alta,En progreso,Sprint 0,Exploratoria,Funcional,UAT,Software IA,CRM,On-Premise- Hibrido,Operacion,ShadowDR),Pedro Cruz,4/28/2024,v1.0.1,Sebastián Cortés,,v1.0.2,Manual
Defecto,API-073,291,No se muestra el mensaje de confirmación tras enviar el formulario.,Verificar herencia del objeto,Media,En progreso,Sprint 5,Sanity,Usabilidad,Sistema,Software IA,ERP,On-Premise- Hibrido,Requisitos,Sandbox,Ana López,5/12/2024,v1.0.1,Isabela Aguirre,Sprint 17,v1.0.2,Manual
Incidente,CORE-568,292,Los errores de validación no se muestran en tiempo real.,Verificar herencia del objeto,Media,Resuelto,Sprint 4,Sanity,Datos,Sistema,Software IA,ERP,Cloud,Requisitos,Sandbox,Sofía Morales,7/31/2024,v1.0.1,Jorge Ramírez,,v1.0.2,Manual
Incidente,API-073,293,El componente de búsqueda no filtra adecuadamente.,Verificar herencia del objeto,Media,Pendiente,Sprint 6,Funcional,Funcional,integracion,Software Tradicional,Datalake,Cloud,Ideación,Desarrollo,Camila Vargas,4/5/2025,v1.0.1,Sofía Morales,,v1.0.2,Automatizada
sugerencia,MOB-589,294,La validación del campo de correo no funciona correctamente.,Verificar herencia del objeto,Media,Cerrado,Sprint 13,Funcional,Desempeño,integracion,Datos,Datalake,Cloud,Requisitos,ShadowDR),Miguel Herrera,6/28/2025,v1.0.1,Isabela Aguirre,,v1.0.2,Manual
riesgo,API-073,295,Se generan logs con errores de NullPointerException.,Verificar herencia del objeto,Media,Reabierto,Sprint 19,Funcional,Funcional,Unitaria,Software Tradicional,ERP,Mainframe,Construcción,Sandbox,Raúl Espinosa,5/6/2024,v1.0.1,Isabela Aguirre,,v1.0.2,Manual
Incidente,MOB-589,296,El botón de envío permanece inactivo aún con campos completos.,Verificar herencia del objeto,Media,En progreso,Sprint 9,Sanity,Usabilidad,Unitaria,Software IA,DWH,Mainframe,Construcción,ShadowDR),Esteban Méndez,4/20/2025,v1.0.1,Gabriela Paredes,,v1.0.2,Manual
Defecto,API-073,297,La validación del campo de correo no funciona correctamente.,Verificar herencia del objeto,Media,Cerrado,Sprint 9,Carga,Desempeño,UAT,SAP,DWH,On-Premise- Hibrido,Operacion,ShadowDR),Mateo Linares,3/8/2024,v1.0.1,Isabela Aguirre,,v1.0.2,Manual
Defecto,WEB-342,298,Fallo en la navegación entre pantallas del módulo principal.,Verificar herencia del objeto,Media,Pendiente,Sprint 15,Carga,Funcional,UAT,Datos,DWH,Cloud,Requisitos,Producción,Gabriela Paredes,4/9/2024,v1.0.1,Esteban Méndez,,v1.0.2,Manual
sugerencia,POS-101,299,Se generan logs con errores de NullPointerException.,Verificar herencia del objeto,Media,En progreso,Sprint 2,Regresión,Funcional,integracion,SAP,ERP,Mainframe,Requisitos,Pruebas,Sofía Morales,7/18/2025,v1.0.1,Esteban Méndez,,v1.0.2,Manual
sugerencia,KIOS-411,300,El sistema se bloquea al ingresar caracteres especiales.,Verificar herencia del objeto,Alta,Resuelto,Sprint 12,Carga,Funcional,UAT,Software Tradicional,CORE Banking,On-Premise- Hibrido,Operacion,ShadowDR),Mateo Linares,10/20/2024,v1.0.1,Isabela Aguirre,Sprint 17,v1.0.2,Manual
sugerencia,MOB-589,301,Permisos incorrectos asignados a usuarios estándar.,Verificar herencia del objeto,Media,En progreso,Sprint 13,Funcional,Datos,UAT,Software Tradicional,CRM,Mainframe,Construcción,Integracion,Jorge Ramírez,9/18/2024,v1.0.1,Jorge Ramírez,Sprint 14,v1.0.2,Manual
riesgo,KIOS-411,302,El botón de envío permanece inactivo aún con campos completos.,Verificar herencia del objeto,Alta,Resuelto,Sprint 8,Regresión,Funcional,integracion,Datos,DWH,Mainframe,Operacion,Pruebas,Mateo Linares,4/30/2024,v1.0.1,Mateo Linares,Sprint 12,v1.0.2,Manual
sugerencia,KIOS-411,303,Se generan logs con errores de NullPointerException.,Verificar herencia del objeto,Baja,En progreso,Sprint 15,Aceptación,Funcional,UAT,Software Tradicional,CRM,On-Premise- Hibrido,Operacion,Integracion,Mateo Linares,8/24/2024,v1.0.1,Gabriela Paredes,,v1.0.2,Manual
riesgo,POS-101,304,El botón de envío permanece inactivo aún con campos completos.,Verificar herencia del objeto,Alta,En progreso,Sprint 0,Funcional,UX,Unitaria,Datos,Datalake,Mainframe,Construcción,Integracion,Laura Ortega,3/30/2024,v1.0.1,Mariana Cárdenas,,v1.0.2,Manual
Defecto,CORE-568,305,La función de autocompletado no sugiere valores esperados.,Verificar herencia del objeto,Baja,Cerrado,Sprint 11,Funcional,Datos,Sistema,SAP,CRM,Mainframe,Construcción,Desarrollo,Valentina Castillo,1/13/2025,v1.0.1,Laura Ortega,,v1.0.2,Manual
Defecto,CORE-568,306,La validación del campo de correo no funciona correctamente.,Verificar herencia del objeto,Crítica,En progreso,Sprint 10,Funcional,Funcional,Sistema,Software IA,ERP,Mainframe,Requisitos,Pre-Producción,Valentina Castillo,4/19/2025,v1.0.1,Miguel Herrera,,v1.0.2,Manual
Defecto,POS-101,307,Inconsistencias en el formato de fechas en reportes.,Verificar herencia del objeto,Baja,Cerrado,Sprint 7,Funcional,Funcional,UAT,SAP,Datalake,Mainframe,Ideación,ShadowDR),Sofía Morales,12/30/2024,v1.0.1,Lucía Fernández,,v1.0.2,Manual
Defecto,BD-921,308,Permisos incorrectos asignados a usuarios estándar.,Verificar herencia del objeto,Alta,Cerrado,Sprint 11,Funcional,Desempeño,Sistema,Software IA,Datalake,On-Premise- Hibrido,Requisitos,Producción,Mariana Cárdenas,1/20/2025,v1.0.1,Sebastián Cortés,,v1.0.2,Manual
Incidente,CORE-568,309,No se muestra el mensaje de confirmación tras enviar el formulario.,Verificar herencia del objeto,Alta,Reabierto,Sprint 4,Integración,Desempeño,UAT,Software IA,Datalake,On-Premise- Hibrido,Requisitos,Pruebas,Sofía Morales,3/29/2025,v1.0.1,Miguel Herrera,Sprint 18,v1.0.2,Manual
Incidente,CORE-568,310,No se muestra el mensaje de confirmación tras enviar el formulario.,Verificar herencia del objeto,Media,Rechazado,Sprint 3,Carga,Funcional,UAT,Software Tradicional,CRM,Mainframe,Ideación,Sandbox,Pedro Cruz,1/8/2025,v1.0.1,Ana López,Sprint 14,v1.0.2,Manual
riesgo,KIOS-411,311,Los errores de validación no se muestran en tiempo real.,Verificar herencia del objeto,Baja,Reabierto,Sprint 20,Exploratoria,Funcional,Unitaria,Software IA,ERP,Mainframe,Ideación,ShadowDR),Gabriela Paredes,2/24/2025,v1.0.1,Lucía Fernández,,v1.0.2,Manual
Defecto,CORE-568,312,Se generan logs con errores de NullPointerException.,Verificar herencia del objeto,Baja,Resuelto,Sprint 13,Carga,Funcional,Unitaria,Software IA,CORE Banking,Cloud,Operacion,ShadowDR),Lucía Fernández,3/2/2024,v1.0.1,Jorge Ramírez,Sprint 15,v1.0.2,Manual
sugerencia,KIOS-411,313,Se generan logs con errores de NullPointerException.,Verificar herencia del objeto,Alta,En progreso,Sprint 10,Funcional,Funcional,Sistema,SAP,CORE Banking,Cloud,Operacion,Integracion,Lucía Fernández,9/25/2025,v1.0.1,Jorge Ramírez,,v1.0.2,Automatizada
sugerencia,API-073,314,Error al guardar los cambios cuando el formulario está incompleto.,Verificar herencia del objeto,Alta,Resuelto,Sprint 12,Aceptación,Compatibilidad,Sistema,Software IA,ERP,On-Premise- Hibrido,Requisitos,ShadowDR),Ana López,7/27/2025,v1.0.1,Ana López,Sprint 17,v1.0.2,Manual
Incidente,CORE-568,315,Permisos incorrectos asignados a usuarios estándar.,Verificar herencia del objeto,Alta,Cerrado,Sprint 20,Carga,Funcional,UAT,Datos,CORE Banking,Mainframe,Construcción,Producción,Esteban Méndez,3/4/2025,v1.0.1,Antonella Duque,Sprint 20,v1.0.2,Manual
riesgo,API-073,316,La validación del campo de correo no funciona correctamente.,Verificar herencia del objeto,Media,Cerrado,Sprint 12,Integración,Funcional,Sistema,Software IA,ERP,On-Premise- Hibrido,Operacion,Pre-Producción,Sebastián Cortés,7/24/2024,v1.0.1,Valentina Castillo,Sprint 18,v1.0.2,Manual
sugerencia,POS-101,317,Se visualiza contenido duplicado en la lista de resultados.,Verificar herencia del objeto,Media,Resuelto,Sprint 10,Exploratoria,Portabilidad,Unitaria,Software Tradicional,Datalake,Cloud,Construcción,Pruebas,Juan Pérez,2/13/2025,v1.0.1,Isabela Aguirre,,v1.0.2,Manual
Defecto,BD-921,318,La validación del campo de correo no funciona correctamente.,Verificar herencia del objeto,Alta,En progreso,Sprint 5,Integración,Funcional,Unitaria,Software Tradicional,CRM,Cloud,Ideación,Integracion,Juan Pérez,10/8/2024,v1.0.1,Camila Vargas,,v1.0.2,Manual
sugerencia,KIOS-411,319,Los datos exportados no coinciden con los mostrados en pantalla.,Verificar herencia del objeto,Alta,Pendiente,Sprint 7,Carga,Funcional,UAT,Software IA,CORE Banking,Cloud,Requisitos,Pre-Producción,Sebastián Cortés,4/21/2024,v1.0.1,Ana López,,v1.0.2,Manual
Incidente,KIOS-411,320,Se generan logs con errores de NullPointerException.,Verificar herencia del objeto,Media,Resuelto,Sprint 6,Regresión,Seguridad,integracion,Software IA,CRM,Cloud,Ideación,ShadowDR),Lucía Fernández,3/20/2025,v1.0.1,Isabela Aguirre,,v1.0.2,Manual
riesgo,POS-101,321,No se muestra el mensaje de confirmación tras enviar el formulario.,Verificar herencia del objeto,Baja,Rechazado,Sprint 8,Funcional,Funcional,UAT,Software Tradicional,CRM,On-Premise- Hibrido,Construcción,ShadowDR),Esteban Méndez,9/1/2024,v1.0.1,Ana López,,v1.0.2,Automatizada
Defecto,API-073,322,No se muestra el mensaje de confirmación tras enviar el formulario.,Verificar herencia del objeto,Media,En progreso,Sprint 18,Funcional,Funcional,UAT,Datos,DWH,Mainframe,Operacion,Integracion,Camila Vargas,6/22/2024,v1.0.1,Sofía Morales,,v1.0.2,Manual
riesgo,CORE-568,323,Los errores de validación no se muestran en tiempo real.,Verificar herencia del objeto,Baja,Resuelto,Sprint 7,Integración,Datos,Unitaria,SAP,ERP,On-Premise- Hibrido,Operacion,Pruebas,Daniela Ríos,6/10/2025,v1.0.1,Mariana Cárdenas,,v1.0.2,Manual
Incidente,POS-101,324,El botón de envío permanece inactivo aún con campos completos.,Verificar herencia del objeto,Alta,Resuelto,Sprint 10,Sanity,Usabilidad,UAT,SAP,CRM,On-Premise- Hibrido,Operacion,Pre-Producción,Valentina Castillo,8/27/2025,v1.0.1,Camila Vargas,,v1.0.2,Manual
Defecto,POS-101,325,No se muestra el mensaje de confirmación tras enviar el formulario.,Verificar herencia del objeto,Crítica,Rechazado,Sprint 4,Funcional,Desempeño,Sistema,Datos,Datalake,Mainframe,Requisitos,Integracion,Juan Pérez,1/11/2025,v1.0.1,Gabriela Paredes,,v1.0.2,Manual
sugerencia,CORE-568,326,Problemas con la internacionalización de mensajes.,Verificar herencia del objeto,Alta,Pendiente,Sprint 18,Funcional,Funcional,Sistema,Software Tradicional,CORE Banking,Cloud,Construcción,Integracion,Camila Vargas,11/10/2024,v1.0.1,Gabriela Paredes,,v1.0.2,Automatizada
Incidente,POS-101,327,El botón de envío permanece inactivo aún con campos completos.,Verificar herencia del objeto,Baja,Resuelto,Sprint 14,Funcional,Seguridad,Sistema,Datos,ERP,Mainframe,Construcción,Producción,Pedro Cruz,2/22/2025,v1.0.1,Mariana Cárdenas,,v1.0.2,Manual
Defecto,BD-921,328,Error al guardar los cambios cuando el formulario está incompleto.,Verificar herencia del objeto,Crítica,En progreso,Sprint 17,Funcional,Datos,Sistema,Software Tradicional,CRM,Mainframe,Operacion,ShadowDR),Daniela Ríos,7/29/2025,v1.0.1,Juan Pérez,,v1.0.2,Manual
Incidente,POS-101,329,El botón de envío permanece inactivo aún con campos completos.,Verificar herencia del objeto,Baja,Rechazado,Sprint 8,Sanity,Funcional,Unitaria,Datos,Datalake,On-Premise- Hibrido,Requisitos,Desarrollo,Pedro Cruz,3/31/2025,v1.0.1,Pedro Cruz,Sprint 20,v1.0.2,Manual
riesgo,MOB-589,330,Inconsistencias en el formato de fechas en reportes.,Verificar herencia del objeto,Baja,Resuelto,Sprint 8,Funcional,Portabilidad,Sistema,Software IA,DWH,Mainframe,Ideación,Pruebas,Mariana Cárdenas,10/25/2025,v1.0.1,Miguel Herrera,Sprint 19,v1.0.2,Manual
riesgo,BD-921,331,Problema de compatibilidad en navegadores móviles.,Verificar herencia del objeto,Alta,En progreso,Sprint 6,Funcional,Funcional,integracion,SAP,Datalake,Cloud,Construcción,Integracion,Daniela Ríos,4/29/2025,v1.0.1,Antonella Duque,,v1.0.2,Automatizada
Incidente,POS-101,332,Error al guardar los cambios cuando el formulario está incompleto.,Verificar herencia del objeto,Alta,Cerrado,Sprint 15,Funcional,Datos,UAT,Datos,CRM,On-Premise- Hibrido,Construcción,Pruebas,Camila Vargas,3/29/2025,v1.0.1,Laura Ortega,Sprint 16,v1.0.2,Manual
sugerencia,MOB-589,333,Permisos incorrectos asignados a usuarios estándar.,Verificar herencia del objeto,Baja,Cerrado,Sprint 15,Funcional,Funcional,UAT,Datos,DWH,Mainframe,Operacion,Pre-Producción,Paula Navarro,7/1/2025,v1.0.1,Camila Vargas,,v1.0.2,Automatizada
